domain,i,j,value1,value2
plasma,3,48,24886.8644,1195924.8096
plasma,3,49,24886.8644,1195924.8096
plasma,3,50,24886.8644,1195924.8096
plasma,3,51,24886.8644,1195924.8096
plasma,3,52,24886.8644,1195924.8096
plasma,3,53,24886.8644,1195924.8096
plasma,3,54,24886.8644,1195924.8096
plasma,3,55,24886.8644,1195924.8096
plasma,3,56,24886.8644,1195924.8096
plasma,3,57,24886.8644,1195924.8096
plasma,3,58,24886.8644,1195924.8096
plasma,3,59,24886.8644,1195924.8096
plasma,3,60,24886.8644,1195924.8096
plasma,3,61,24886.8644,1195924.8096
plasma,3,62,24886.8644,1195924.8096
plasma,3,63,24886.8644,1195924.8096
plasma,3,64,24886.8644,1195924.8096
plasma,3,65,24886.8644,1195924.8096
plasma,3,66,24886.8644,1195924.8096
plasma,3,67,24886.8644,1195924.8096
plasma,3,68,24886.8644,1195924.8096
plasma,3,69,24886.8644,1195924.8096
plasma,3,70,24886.8644,1195924.8096
plasma,3,71,24886.8644,1195924.8096
plasma,3,72,24886.8644,1195924.8096
plasma,3,73,24886.8644,1195924.8096
plasma,3,74,24886.8644,1195924.8096
plasma,3,75,24886.8644,1195924.8096
plasma,3,76,24886.8644,1195924.8096
plasma,3,77,24886.8644,1195924.8096
plasma,3,78,24886.8644,1195924.8096
plasma,3,79,24886.8644,1195924.8096
plasma,3,80,24886.8644,1195924.8096
plasma,3,81,24886.8644,1195924.8096
plasma,3,82,24886.8644,1195924.8096
plasma,3,83,24886.8644,1195924.8096
plasma,3,84,24886.8644,1195924.8096
plasma,3,85,24886.8644,1195924.8096
plasma,3,86,24886.8644,1195924.8096
plasma,3,87,24886.8644,1195924.8096
plasma,3,88,24886.8644,1195924.8096
plasma,3,89,24886.8644,1195924.8096
plasma,3,90,24886.8644,1195924.8096
plasma,3,91,24886.8644,1195924.8096
plasma,3,92,24886.8644,1195924.8096
plasma,3,93,24886.8644,1195924.8096
plasma,3,94,24886.8644,1195924.8096
plasma,3,95,24886.8644,1195924.8096
plasma,3,96,24886.8644,1195924.8096
plasma,3,97,24886.8644,1195924.8096
plasma,3,98,24886.8644,1195924.8096
plasma,3,99,24886.8644,1195924.8096
plasma,3,100,24886.8644,1195924.8096
plasma,3,101,24886.8644,1195924.8096
plasma,3,102,24886.8644,1195924.8096
plasma,3,103,24886.8644,1195924.8096
plasma,3,104,24886.8644,1195924.8096
plasma,3,105,24886.8644,1195924.8096
plasma,3,106,24886.8644,1195924.8096
plasma,3,107,24886.8644,1195924.8096
plasma,3,108,24886.8644,1195924.8096
plasma,3,109,24886.8644,1195924.8096
plasma,3,110,24886.8644,1195924.8096
plasma,3,111,24886.8644,1195924.8096
plasma,3,112,24886.8644,1195924.8096
plasma,3,113,24886.8644,1195924.8096
plasma,3,114,24886.8644,1195924.8096
plasma,3,115,24886.8644,1195924.8096
